Starting training for 300 epochs - 
  epoch    train_loss     dur
    244        0.1448  3.1354
    245        0.1369  3.1248
    246        0.1366  3.1476
    247        0.1118  3.1252
    248        0.1244  3.1325
    249        0.1595  3.1426
    250        0.1451  3.1281
    251        0.1579  3.1934
    252        0.1342  3.1382
    253        0.1621  3.1243
    254        0.1293  3.1395
    255        0.2465  3.1292
    256        0.1476  3.1500
    257        0.1816  3.1845
    258        0.1400  3.1283
    259        0.0948  3.1413
    260        0.1830  3.1384
    261        0.1762  3.1287
    262        0.1528  3.1358
    263        0.1003  3.1440
    264        0.1389  3.1371
    265        0.0921  3.1794
    266        0.1663  3.5872
    267        0.1206  3.4772
    268        0.1485  3.3813
    269        0.0899  3.2725
    270        0.0853  4.2752
    271        0.1098  5.4180
    272        0.1167  4.9540
    273        0.1543  4.6399
    274        0.1683  4.1631
    275        0.1180  3.2274
    276        0.1072  3.1667
    277        0.1170  3.2434
    278        0.1183  3.1821
    279        0.1275  3.1694
    280        0.1601  3.2260
    281        0.1079  3.1827
    282        0.1135  3.2353
    283        0.1249  3.1585
    284        0.1230  3.2456
    285        0.1424  3.2219
    286        0.1077  3.3766
    287        0.1151  3.9049
    288        0.1178  3.3924
    289        0.1465  3.3348
    290        0.1117  3.2989
    291        0.1212  3.5334
    292        0.0812  4.1823
    293        0.1009  3.7142
    294        0.0929  3.7819
    295        0.0765  3.3984
    296        0.0995  3.3834
    297        0.0994  3.2705
    298        0.1412  3.1590
    299        0.1111  3.1983
    300        0.1832  3.1294

========================================
 BASELINE (SOFTMAX) RESULTS
========================================
Total time         : 1053.98 seconds
Average time/epoch : 3.51 seconds
VRAM used (Mac)    : 57.68 MB
Numerical stability: STABLE (No NaN values)
Test accuracy: 0.6551724137931034
